rep,noise,true_snr,true_snr_eff,fe,estimator,est,err,lag1,artf,warn_corr
4,em(motion),20,20.0,False,snr_beat_residual_db,14.463450249855082,-5.536549750144918,0.7427776923883083,0.023391812865497075,1.0
4,em(motion),20,20.0,False,snr_hsc_db,17.73733428261914,-2.262665717380859,0.7427776923883083,0.023391812865497075,1.0
4,em(motion),20,20.0,False,snr_isoelectric_db,17.11538458984604,-2.884615410153959,0.7427776923883083,0.023391812865497075,1.0
4,impulse,0,0.0,False,snr_beat_residual_db,-2.9040202268378557,-2.9040202268378557,0.47190704441060083,0.2994652406417112,1.0
4,impulse,0,0.0,False,snr_hsc_db,-2.021373855923276,-2.021373855923276,0.47190704441060083,0.2994652406417112,1.0
4,impulse,0,0.0,False,snr_isoelectric_db,19.974238960294045,19.974238960294045,0.47190704441060083,0.2994652406417112,1.0
4,impulse,5,5.0,False,snr_beat_residual_db,1.5985757524093707,-3.4014242475906293,0.5835104974807513,0.24157303370786518,1.0
4,impulse,5,5.0,False,snr_hsc_db,4.647888464828113,-0.3521115351718871,0.5835104974807513,0.24157303370786518,1.0
4,impulse,5,5.0,False,snr_isoelectric_db,18.442849635655865,13.442849635655865,0.5835104974807513,0.24157303370786518,1.0
4,impulse,10,10.0,False,snr_beat_residual_db,5.5499594395971865,-4.4500405604028135,0.536533719133181,0.1657142857142857,1.0
4,impulse,10,10.0,False,snr_hsc_db,7.481003925929221,-2.5189960740707793,0.536533719133181,0.1657142857142857,1.0
4,impulse,10,10.0,False,snr_isoelectric_db,17.349217994429814,7.349217994429814,0.536533719133181,0.1657142857142857,1.0
4,impulse,15,15.0,False,snr_beat_residual_db,9.274134192979792,-5.725865807020208,0.6759630201068942,0.10919540229885058,1.0
4,impulse,15,15.0,False,snr_hsc_db,9.046901371884054,-5.953098628115946,0.6759630201068942,0.10919540229885058,1.0
4,impulse,15,15.0,False,snr_isoelectric_db,17.069167086321393,2.069167086321393,0.6759630201068942,0.10919540229885058,1.0
4,impulse,20,20.0,False,snr_beat_residual_db,13.368950815719833,-6.631049184280167,0.7223828665477019,0.06432748538011696,1.0
4,impulse,20,20.0,False,snr_hsc_db,15.252996495952544,-4.747003504047456,0.7223828665477019,0.06432748538011696,1.0
4,impulse,20,20.0,False,snr_isoelectric_db,16.984085023270044,-3.015914976729956,0.7223828665477019,0.06432748538011696,1.0
4,mixed,0,0.0,False,snr_beat_residual_db,11.684395835789395,11.684395835789395,0.5389892628716679,0.0,1.0
4,mixed,0,0.0,False,snr_hsc_db,18.063210049067862,18.063210049067862,0.5389892628716679,0.0,1.0
4,mixed,0,0.0,False,snr_isoelectric_db,-0.10598978884549358,-0.10598978884549358,0.5389892628716679,0.0,1.0
4,mixed,5,5.0,False,snr_beat_residual_db,1.5747835365357754,-3.4252164634642246,0.31776089477671954,0.07303370786516854,1.0
4,mixed,5,5.0,False,snr_hsc_db,4.100661783978224,-0.8993382160217758,0.31776089477671954,0.07303370786516854,1.0
4,mixed,5,5.0,False,snr_isoelectric_db,16.10791415900166,11.107914159001659,0.31776089477671954,0.07303370786516854,1.0
4,mixed,10,10.0,False,snr_beat_residual_db,8.936410236672588,-1.0635897633274123,0.4629407074443005,0.017543859649122806,1.0
